时间,主题,内容
1月1日 18:07,#给红薯一个机会#,"错过了西瓜苹果，还有红薯挑战赛呀！
@山竹们，助农爱心红薯，需要你的支持~快来原博转发评论@山东大学 吧！
助力脱贫攻坚的路上，有你有我！"
1月1日 17:15,#山大放映室#,姗姗送上治愈视频~
1月1日 14:33,#姗姗话题圈#,如果不考虑任何因素，你现在最想去哪里呢！
1月1日 13:31,#山大书屋#,"“虚空是一点爱惜的深心。
宇宙是一颗不损坏的飞尘。”

废名如此描述自己的诗：我的诗是天然的，是偶然的，是整个的不是零星的，不写而还是诗的。✨
（图Via@PoemsForYou)"
1月1日 11:21,#每日山问#,姗姗的汉字科普来咯，你知道“槑”怎么读嘛？ R山东大学的微博投票
1月1日 10:12,#百廿故事，山大星辰#,"春秋迭代，初心如磐。
百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。新年伊始，为迎接山东大学120周年华诞，砥砺山大人兴学图强的初心使命。从今天开始，姗姗每天为大家分享一位山大历史上的名师大家，让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
闻一多先生（1899—19 ...展开全文c"
1月1日 09:01,#新技能Get√#,"【论文写作】快码住备用吧！
1.文献检索与论文写作：O名校公开课-文献检索与论文写作-武祥龙 | 西...
2.文献管理与信息分析：O【中国科学技术大学】文献管理与信息分析 [20...
3.保姆级论文写作教程：O在家如何写出优秀论文？？【保姆级论文写作教...
4.英语学术论文写作：O英语学术论文写作
5.学术思维与论文写作：O学术思维与论文写作...展开全文c"
1月1日 07:58,#早安，山大！#,"我与光一起生活
我的一生是飘过的一缕芳香
我的一秒是日久月长
——阿多尼斯《我的孤独是一座花园》

元旦快乐哦～"
2020-12-31 22:53,#山大心语#,"一个人吃苦碰钉子都不要紧，只要吸取教训，所谓人生或社会的教育就是这么回事。
——傅雷"
2020-12-31 21:17,#每日山问#,英语短语“have a thick skin”的意思是？ R山东大学的微博投票
2020-12-31 18:23,#山大放映室#,"【2020哪一刻让你觉得很美？】这一年我们经历了很多磨难，也在这些磨难中看到太多打动人心的美：没有光环却义无反顾的逆行天使很美，没有盔甲但用身体守护大美河山的战士很美，点燃自己再照亮更多人的教师很美…山竹心里最美的时刻是什么呢？L人民日报的微博视频
（via@人民日报）"
2020-12-31 15:40,#2020最后一天#,
2020-12-31 14:39,#山大书屋#,"睡美人蛮累的
只想继续睡
偏偏就有人一定要来吻她

一组林婉瑜笔下的童话故事
（via@poemsforyou）"
2020-12-31 12:50,#山大放映室#,【治愈系列：
2020-12-31 11:24,#2020最后一天#,
2020-12-31 10:03,#山大资讯#,"【山大主办中国人大预算监督研讨会暨《中国政府预算改革发展年度报告2019》发布式】
12月27日，中国人大预算监督研讨会暨《中国政府预算改革发展年度报告2019：聚焦中国人大预算监督改革》发布式在北京召开，中国财政学会人大预算监督专业委员会筹备会同期举行。第十三届全国人民代表大会财 ...展开全文c"
2020-12-31 07:57,#早安，山大！#,"把寄与他人的希望收回来放在自己身上，倒也温馨。
——木心
早安呀"
2020-12-30 22:05,#山大心语#,"
走正确的路，放无心的手，结有道之朋，断无义之友，饮清净之茶，戒色花之酒，开方便之门，闭是非之口。

—— 丰子恺 晚安哦"
2020-12-30 19:35,#姗姗话题圈#,快要放假了，学校里有什么你舍不得的人或物吗～？
2020-12-29 12:53,#校园冬景图鉴#,❄️
