网址,标题,时间戳
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/04/30/ARTIkOwoThoIpkDaskG6uNe6170430.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,"山东大学
生宋振宁被电信诈骗案 侦查终结 移送检察机关审查起诉",2017-04-30 10:02:22
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/04/30/ARTIieDIz94gKZUnHpxYUVkW170430.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,"山东大学
生宋振宁被电信诈骗案 侦查终结 移送检察机关审查起诉",2017-04-30 09:55:32
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2020/09/28/ARTIEWvoHdID7ZJVXjNyZcv5200928.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,让文明照鉴未来——孔子诞生地举行东西方文明对话,2020-09-28 20:25:18
https://search.cctv.com/link_p.php?targetpage=https://culture-travel.cctv.com/2020/10/21/ARTIjfoQfygoK9DO1Z68pNWs201021.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,高蛋白低脂的肉类和土豆适合减肥人士吃,2020-10-21 16:11:15
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2020/09/26/ARTIXQEjLuuy7kq2SszjyxAO200926.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,左脚变形坚持跳舞 “折翼天使”舞动生命奇迹,2020-09-26 06:29:37
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2020/12/13/ARTIPVQDP3RbqDG1aZYcMSDE201213.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,隔夜菜真致癌吗？带饭上班要注意啥,2020-12-13 15:31:18
https://search.cctv.com/link_p.php?targetpage=http://jiankang.cctv.com/2020/05/04/ARTI6LZtraj8TX2aWkeKvl7z200504.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,费剑春：社会各界大力支持和倾囊相助是医务人员在前线安心工作的动力,2020-05-04 11:22:03
https://search.cctv.com/link_p.php?targetpage=https://gongyi.cctv.com/2020/12/09/ARTIjTz5X9TBBoFRsNS725MX201209.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,《人民日报》刊发2020中国网络诚信大会综述：守信互信 共践共行,2020-12-09 14:37:28
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2020/11/06/ARTINFjU9yNIBYCHcWuxElNp201106.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,网络文学迅速发展 已成中国当代文学不可或缺的存在,2020-11-06 12:57:00
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2020/11/21/ARTImyATkREFGRx0hAfAHil4201121.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,为实现中华民族伟大复兴的中国梦提供有力法治保障,2020-11-21 14:39:42
